Word,POS_Tag
integrity,NOUN
education,NOUN
faced,VERB
betrayal,NOUN
minutes,NOUN
commencement,NOUN
semester,NOUN
examination,NOUN
Behaviour,NOUN
question,NOUN
paper,NOUN
circulating,VERB
group,NOUN
teacher,NOUN
known,VERB
identified,VERB
shared,VERB
paper,NOUN
provided,VERB
page,NOUN
solution,NOUN
test,NOUN
brazen,NOUN
act,NOUN
fraud,NOUN
allowed,VERB
members,NOUN
group,NOUN
discuss,VERB
answers,NOUN
time,NOUN
paper,NOUN
leak,NOUN
case,NOUN
symptom,NOUN
recurring,VERB
issue,NOUN
plagued,VERB
decades,NOUN
leaks,NOUN
cancelled,VERB
entrance,NOUN
exams,NOUN
history,NOUN
examination,NOUN
compromises,NOUN
record,NOUN
leak,NOUN
examination,NOUN
paper,NOUN
blow,NOUN
student,NOUN
community,NOUN
thousands,NOUN
candidates,NOUN
examinations,NOUN
culmination,NOUN
years,NOUN
study,NOUN
sacrifice,NOUN
families,NOUN
paper,NOUN
leak,NOUN
shatters,VERB
health,NOUN
students,NOUN
causing,VERB
stress,NOUN
anxiety,NOUN
cases,NOUN
loss,NOUN
opportunity,NOUN
drives,VERB
students,NOUN
depression,NOUN
Families,NOUN
suffer,VERB
losses,NOUN
money,NOUN
spent,VERB
examination,NOUN
fees,NOUN
coaching,NOUN
travel,NOUN
students,NOUN
lose,VERB
motivation,NOUN
study,VERB
context,NOUN
response,NOUN
departure,NOUN
inertia,NOUN
ordered,VERB
leadership,NOUN
conduct,VERB
clock,NOUN
investigation,NOUN
coordination,NOUN
led,VERB
arrest,NOUN
suspects,NOUN
hours,NOUN
incident,NOUN
remains,VERB
custody,NOUN
action,NOUN
masterminds,NOUN
rackets,NOUN
avoided,VERB
investigation,NOUN
draw,VERB
lessons,NOUN
chaos,NOUN
neighbouring,VERB
resigned,VERB
following,VERB
weeks,NOUN
youth,NOUN
demonstrations,NOUN
organised,VERB
entrance,NOUN
exam,NOUN
compromised,VERB
government,NOUN
hesitation,NOUN
delay,NOUN
taking,VERB
level,NOUN
accountability,NOUN
served,VERB
fuel,VERB
fury,NOUN
destroy,VERB
trust,NOUN
testing,NOUN
bodies,NOUN
avoid,VERB
trajectory,NOUN
maintaining,VERB
transparency,NOUN
university,NOUN
establish,VERB
policy,NOUN
constitutes,VERB
compromising,VERB
threshold,NOUN
examination,NOUN
demand,NOUN
resignation,NOUN
figures,NOUN
leader,NOUN
calling,VERB
step,VERB
citing,VERB
precedent,NOUN
set,VERB
demand,NOUN
misplaced,VERB
situation,NOUN
government,NOUN
hesitated,VERB
driven,VERB
crackdown,NOUN
perpetrators,NOUN
findings,NOUN
indicate,VERB
leak,NOUN
carried,VERB
teacher,NOUN
employee,NOUN
minister,NOUN
forced,VERB
actions,NOUN
individual,NOUN
university,NOUN
payroll,NOUN
Basnet,NOUN
trying,VERB
politicise,VERB
crisis,NOUN
gain,NOUN
government,NOUN
set,VERB
precedent,NOUN
going,VERB
root,NOUN
incident,NOUN
action,NOUN
taken,VERB
individuals,NOUN
flaws,NOUN
allow,VERB
leaks,NOUN
recur,VERB
Growing,VERB
commercialisation,NOUN
education,NOUN
driver,NOUN
scandals,NOUN
institutions,NOUN
care,VERB
inflating,VERB
results,NOUN
do,VERB
quality,NOUN
students,NOUN
patronage,NOUN
protected,VERB
syndicates,NOUN
past,NOUN
leading,VERB
culture,NOUN
impunity,NOUN
government,NOUN
ensure,VERB
security,NOUN
examination,NOUN
halls,NOUN
becomes,VERB
priority,NOUN
includes,VERB
enforcing,VERB
bans,NOUN
devices,NOUN
examination,NOUN
halls,NOUN
utilising,VERB
signal,NOUN
jamming,NOUN
investigation,NOUN
tracked,VERB
ensure,VERB
perpetrators,NOUN
face,VERB
consequences,NOUN
needs,VERB
system,NOUN
treats,VERB
merit,NOUN
addressing,VERB
root,NOUN
causes,NOUN
ignoring,VERB
theatre,NOUN
university,NOUN
regain,VERB
credibility,NOUN
