entity_group,score,word,start,end
EVENT,0.9994955,The FIFA World Cup,0,18
GPE,0.99848455, Spain,80,85
DATE,0.9992485, 16 years,92,100
ORDINAL,0.9947305, second,109,115
GPE,0.82777154,.,120,121
GPE,0.99874663, Argentina,157,166
CARDINAL,0.81716883, thousands,174,183
GPE,0.9997395, New Jersey,201,211
PERSON,0.9951333, Donald Trump,223,235
GPE,0.999181, U.S.,241,245
GPE,0.82777196,.,255,256
NORP,0.99985343, Nepalis,302,309
TIME,0.7310966, slee,332,336
TIME,0.96292657, nights,342,348
TIME,0.99289685, midnight,395,403
GPE,0.8277719,.,403,404
GPE,0.9984561, China,589,594
DATE,0.9994212, the Han Dynasty,602,617
DATE,0.9950912, the 3rd century,621,636
GPE,0.99929285, Nepal,660,665
GPE,0.8277717,.,686,687
NORP,0.999948, Chinese,715,722
PERSON,0.99988353, Huen Tsang,733,743
NORP,0.99980783, Nepalese,768,776
GPE,0.91349036, Nepal.,967,973
DATE,0.9996547, 604 AD,976,982
NORP,0.909146, Licchavi,983,991
PERSON,0.99985856, Siva Deb,1020,1028
PERSON,0.99986506, Amshu Verma,1033,1044
MONEY,0.92820024, 68 manika,1071,1080
GPE,0.82777196,.,1138,1139
CARDINAL,0.5359799, One,1203,1206
GPE,0.99766856, Britain,1309,1316
DATE,0.5055332, around,1317,1323
DATE,0.9290941, the 15th century,1324,1340
GPE,0.8277715,.,1340,1341
GPE,0.8277723,.,1382,1383
ORG,0.9998072, the International Federation of Association Football,1562,1614
ORG,0.9571726,FIFA),1615,1620
DATE,0.9993662, 1904,1624,1628
GPE,0.8277713,.,1693,1694
GPE,0.99805343, Uruguay,1709,1716
ORDINAL,0.95996684, first,1731,1736
EVENT,0.99370134, World Cup,1737,1746
DATE,0.9990765, 1930,1756,1760
GPE,0.8277718,.,1787,1788
NORP,0.99973845, Latin American,1822,1836
NORP,0.99973065, European,1840,1848
NORP,0.9997942, Asian,1861,1866
NORP,0.999613, African,1871,1878
DATE,0.7777159, This year,1936,1945
NORP,0.99981004, Asian,1960,1965
NORP,0.9995352, African,1970,1977
GPE,0.82777166,.,2053,2054
LOC,0.9986952, Europe,2084,2090
LOC,0.96948314,Latin America,2091,2104
GPE,0.8277715,.,2121,2122
GPE,0.99923337, Nepal,2209,2214
DATE,0.99974674, 1951,2259,2263
GPE,0.82777166,.,2263,2264
GPE,0.9994098, Nepal,2302,2307
DATE,0.99952376, 1921,2314,2318
PERSON,0.9932161, Rana,2330,2334
ORG,0.9998553, FIFA,2359,2363
DATE,0.99961275, 1972,2386,2390
GPE,0.8277719,.,2390,2391
DATE,0.8107283, This year,2392,2401
NORP,0.9998981, Nepali,2403,2409
EVENT,0.99963266, the World Cup,2428,2441
ORG,0.9999376, ANFA,2498,2502
ORG,0.99981016, FIFA,2506,2510
ORG,0.99994123, the Nepal Sports Council,2534,2558
ORG,0.9999433, ANFA,2560,2564
