Entity,Label
FIFA,ORGANIZATION
Spain,GPE
Argentina,GPE
New Jersey,GPE
Donald Trump,PERSON
U.S.,GPE
Nepalis,ORGANIZATION
China,GPE
Han Dynasty,ORGANIZATION
Nepal,GPE
Chinese,GPE
Huen Tsang,PERSON
Nepalese,GPE
Siva Deb,PERSON
Amshu Verma,PERSON
Britain,GPE
Football,PERSON
International Federation,ORGANIZATION
Association Football,ORGANIZATION
FIFA,ORGANIZATION
Uruguay,PERSON
American,GPE
European,GPE
Asian,GPE
African,GPE
Asian,GPE
African,GPE
America,GPE
Nepal,PERSON
Nepal,GPE
Rana,ORGANIZATION
FIFA,ORGANIZATION
Nepali,GPE
ANFA,ORGANIZATION
FIFA,ORGANIZATION
Nepal Sports Council,ORGANIZATION
Nepal,PERSON
Group H,ORGANIZATION
United Arab Emirates,ORGANIZATION
Bahrain,GPE
Group,GPE
Laos,PERSON
Brazil,PERSON
Argentina,GPE
Nepal,GPE
Argentina,GPE
Brazil,PERSON
Argentina,PERSON
Messi,PERSON
Maradona,GPE
Maradona,PERSON
Nepal,GPE
England,GPE
Argentina,GPE
Maradona,PERSON
England,GPE
Gurkhas,ORGANIZATION
England,GPE
Argentina,PERSON
Maradona,PERSON
Cabol Verde,PERSON
Spain,GPE
Argentina,GPE
Vozinha,PERSON
Spanish,GPE
Lamine Yamal,PERSON
French,GPE
Mbappe,PERSON
Football,PERSON
Iran,GPE
US,ORGANIZATION
Middle East,GPE
Iran,GPE
New Zealand,GPE
Belgium,GPE
Egypt,GPE
United States,GPE
Folarin Balegun,PERSON
U.S.,GPE
Trump,PERSON
FIFA,ORGANIZATION
Gianni Infantino,PERSON
Spain,PERSON
Argentina,GPE
FIFA,ORGANIZATION
Canada,GPE
US,GSP
Mexico,GPE
Global Football Development,PERSON
Nepal,PERSON
Himalayan Sports,PERSON
Nepal,PERSON
Balen Shah,PERSON
Cabo Verde,ORGANIZATION
Nepal,PERSON
