Entity,Label
World Cup,EVENT
Spain,GPE
16 years,DATE
second,ORDINAL
Argentina,GPE
thousands,CARDINAL
New Jersey,GPE
Donald Trump,PERSON
U.S.,GPE
Nepalis,PERSON
midnight,TIME
China,GPE
the Han Dynasty,ORG
the 3rd century,DATE
Nepal,GPE
Chinese,NORP
Huen Tsang,PERSON
Nepalese,NORP
Nepal,GPE
Siva Deb,ORG
Amshu Verma,FAC
68,CARDINAL
One,CARDINAL
Britain,GPE
the 15th century,DATE
weekly,DATE
the International Federation of Association,ORG
1904,DATE
Uruguay,PERSON
first,ORDINAL
World Cup,EVENT
1930,DATE
Latin American,NORP
European,NORP
Asian,NORP
African,NORP
This year,DATE
Asian,NORP
African,NORP
Europe-Latin America,LOC
Nepal,PERSON
1951,DATE
Nepal,GPE
1921,DATE
Rana,PERSON
FIFA,ORG
1972,DATE
This year,DATE
Nepali,ORG
the World Cup,EVENT
the Nepal Sports Council,ORG
Nepal,PERSON
177th,ORDINAL
the Group H,ORG
second,ORDINAL
the United Arab Emirates,GPE
Bahrain,GPE
Yemen,GPE
Group,ORG
Laos,GPE
Nepali,NORP
Brazil,GPE
Argentina,GPE
Nepal,GPE
Argentina,GPE
Brazil,GPE
Argentina,GPE
Messi,PERSON
Maradona,PERSON
Maradona,PERSON
Nepal,GPE
England,GPE
Argentina,GPE
1982,DATE
Falklands War,EVENT
Maradona,PERSON
England,GPE
Gurkhas,NORP
England,GPE
quarter,CARDINAL
Argentina,GPE
2,CARDINAL
Maradona,PERSON
year,DATE
World Cup,EVENT
Cabol Verde,PERSON
Round,PRODUCT
32,DATE
Spain,GPE
3,CARDINAL
Argentina,GPE
40-year-old,DATE
at least seven,CARDINAL
19-year-old,DATE
Spanish,NORP
Lamine Yamal,PERSON
French,NORP
Mbappe,ORG
10,CARDINAL
Iran,GPE
US,GPE
the Middle East,LOC
Iran,GPE
three,CARDINAL
New Zealand,GPE
Belgium,GPE
Egypt,GPE
the United States,GPE
Folarin Balegun,PERSON
one,CARDINAL
U.S.,GPE
Trump,PERSON
FIFA,ORG
Gianni Infantino,PERSON
$15 billion,MONEY
$4 billion,MONEY
$11 billion,MONEY
$655 million,MONEY
Spain,GPE
$50 million,MONEY
Argentina,GPE
$ 33 million,MONEY
Three billion dollars,MONEY
Canada,GPE
US,GPE
Mexico,GPE
$8.3 billion,MONEY
Global Football Development,ORG
Nepal,PERSON
Rs 1.22 billion,LAW
Himalayan Sports,ORG
Nepal,PERSON
48,CARDINAL
Balen Shah,PERSON
"just 500,000",CARDINAL
Cabo Verde,PRODUCT
Nepal,GPE
